68,180.3,73.9
77,160,70.2
25,172.7,95.3
81,165.1,61.7
19,188,55.4
67,190.5,100
59,165.1,156.6
70,165,60.9
45,170.2,75.4
50,175.3,79
72,154.9,67.8
80,160,70.1
48,175.3,168.3
65,172.7,68.3
81,172.7,113.9
78,160,89.2
30,193,87.1
46,167.6,72.6
65,167.6,79.8
39,177.8,117
79,170.2,82.2
80,170.2,103.3
58,162.6,73.9
87,180.3,71.4
60,188,104.3
68,165.1,70.9
85,152.4,55.3
79,149.9,52.6
78,160,83.9
60,180.3,86.1
76,182.9,108.3
68,172.7,82.2
30,162.5,44.9
45,190.5,116.6
53,165.1,64.4
71,177.8,121.7
71,162.6,90.7
58,151.8,110.7
85,157.5,54.3
65,172.7,78.4
82,188,83.9
60,165.1,117
87,157.5,46.5
52,165.1,62.8
60,170.2,102.7
75,182.9,112
64,180.3,55.2
59,170.2,39.3
55,185.4,112.7
67,177.8,90.7
75,177.8,120.7
53,162.6,82.2
73,177.8,88.7
88,162.6,64
84,180.3,91
68,172.7,102.9
62,177.8,86.2
81,160,53.4
55,172.7,26.9
56,162.6,90.3
85,149.9,79.7
77,165.1,88
38,161.3,87
73,167.5,57.1
59,177.8,85.7
41,167.6,104.4
70,172.7,77.5
35,162.6,68.8
54,177.8,77.1
58,165.1,32.2
48,180.3,86.2
80,165.1,53.1
23,167.6,38.6
74,167.6,71.1
59,162.6,122.7
84,167.6,65.7
67,160,64.4
73,152.4,55
65,166.4,147.9
82,154.9,45.4
81,177.8,88.9
49,172.7,67.3
85,165.1,97.8
56,172.7,73.2
67,170.2,96.6
62,154.9,70.6
52,197.9,89.5
30,170.2,90.7
78,175.3,120.2
88,172.7,63.9
68,185.4,54.7
86,149.9,54.6
85,154.9,66.4
65,167.6,92.7
51,190.5,87.2
55,182.9,80.7
35,152.4,76.2
63,167.6,100
68,182.9,86.8
25,160,118.8
84,167.6,26
61,180.3,69.7
65,172.7,70
71,160,89.8
71,182.9,84.8
72,170.2,72.5
47,160,73.9
75,160,65.9
55,167.6,66.7
33,167.6,68.5
65,157.5,79.2
89,175.3,100
